impacto_presupuestario_mes,ejercicio_presupuestario,servicio_id,servicio_desc,programa_id,programa_desc,inciso_id,inciso_desc,fuente_financiamiento_id,fuente_financiamiento_desc,credito_presupuestado,credito_vigente,credito_comprometido,credito_devengado,credito_pagado,ultima_actualizacion_fecha
1,2021,364,Ministerio de Obras Públicas,1,Actividades Centrales,1,Gastos en Personal,1.1,Tesoro Nacional,33.912027,33.912027,6.43638341,5.58902153,4.74165965,Última actualización del ejercicio 2021: 07 Junio 2021.
1,2021,364,Ministerio de Obras Públicas,1,Actividades Centrales,1,Gastos en Personal,1.1,Tesoro Nacional,57.761856,57.761856,6.70216689,5.74101996,4.77987303,Última actualización del ejercicio 2021: 07 Junio 2021.
1,2021,364,Ministerio de Obras Públicas,1,Actividades Centrales,1,Gastos en Personal,1.1,Tesoro Nacional,7.63949,7.63949,0.02316934,0.01158467,0.0,Última actualización del ejercicio 2021: 07 Junio 2021.
1,2021,364,Ministerio de Obras Públicas,1,Actividades Centrales,1,Gastos en Personal,1.1,Tesoro Nacional,24.530404,24.530404,5.70268961,2.89241059,0.0,Última actualización del ejercicio 2021: 07 Junio 2021.
1,2021,364,Ministerio de Obras Públicas,1,Actividades Centrales,1,Gastos en Personal,1.1,Tesoro Nacional,3.636823,3.636823,0.064881,0.064881,0.064881,Última actualización del ejercicio 2021: 07 Junio 2021.
1,2021,364,Ministerio de Obras Públicas,1,Actividades Centrales,1,Gastos en Personal,1.1,Tesoro Nacional,4.11321,4.11321,0.35023877,0.29995312,0.2493109,Última actualización del ejercicio 2021: 07 Junio 2021.
1,2021,364,Ministerio de Obras Públicas,1,Actividades Centrales,1,Gastos en Personal,1.1,Tesoro Nacional,0.342767,0.342767,0.0,0.0,0.0,Última actualización del ejercicio 2021: 07 Junio 2021.
1,2021,364,Ministerio de Obras Públicas,1,Actividades Centrales,1,Gastos en Personal,1.1,Tesoro Nacional,1.069435,1.069435,0.14248652,0.07149494,0.0,Última actualización del ejercicio 2021: 07 Junio 2021.
1,2021,364,Ministerio de Obras Públicas,1,Actividades Centrales,1,Gastos en Personal,1.1,Tesoro Nacional,7.997103,7.997103,0.83645775,0.41911914,0.0,Última actualización del ejercicio 2021: 07 Junio 2021.
1,2021,364,Ministerio de Obras Públicas,1,Actividades Centrales,1,Gastos en Personal,1.1,Tesoro Nacional,0.73272,0.73272,0.0,0.0,0.0,Última actualización del ejercicio 2021: 07 Junio 2021.
1,2021,364,Ministerio de Obras Públicas,1,Actividades Centrales,1,Gastos en Personal,1.1,Tesoro Nacional,3.400568,3.400568,0.0,0.0,0.0,Última actualización del ejercicio 2021: 07 Junio 2021.
1,2021,364,Ministerio de Obras Públicas,1,Actividades Centrales,1,Gastos en Personal,1.1,Tesoro Nacional,28.736479,28.736479,5.31776732,4.22893861,3.12738261,Última actualización del ejercicio 2021: 07 Junio 2021.
1,2021,364,Ministerio de Obras Públicas,1,Actividades Centrales,1,Gastos en Personal,1.1,Tesoro Nacional,178.465429,178.465429,8.97273109,7.66061582,6.37156493,Última actualización del ejercicio 2021: 07 Junio 2021.
1,2021,364,Ministerio de Obras Públicas,1,Actividades Centrales,1,Gastos en Personal,1.1,Tesoro Nacional,46.258736,46.258736,3.73384536,3.21080863,2.67680555,Última actualización del ejercicio 2021: 07 Junio 2021.
1,2021,364,Ministerio de Obras Públicas,1,Actividades Centrales,1,Gastos en Personal,1.1,Tesoro Nacional,18.727014,18.727014,0.06469505,0.06469505,0.06465381,Última actualización del ejercicio 2021: 07 Junio 2021.
